자치구,행정동,행정동코드,A_인프라,B_외출커뮤적은,C_배달의존,D_이동저하,E_독거비율,Dependency
관악구,청룡동,11620595,0.7043342588137625,0.29773179541334804,0.688073394495413,0.5766584214076906,0.29863724891735266,55.0
강북구,미아동,11305535,0.6546715163588422,0.25462257890771645,0.7155963302752294,0.6680826706461966,0.3473138208955549,54.9
강동구,천호3동,11740620,0.6690193580895575,0.2720457612632029,0.7981651376146789,0.5400903571355562,0.334239130081581,54.9
영등포구,대림3동,11560720,0.6702002568376991,0.3037489011604239,0.779816513761468,0.5827544616391032,0.2538964364236074,54.9
관악구,서원동,11620645,0.6321566592454854,0.2211633583776897,0.9082568807339452,0.6083488357830611,0.31182126793572323,54.8
강남구,삼성2동,11680590,0.7669234016654803,0.2623946182487799,0.9082568807339452,0.3889159188012348,0.18456591616895227,54.6
관악구,조원동,11620725,0.6552418485408401,0.2094885650355841,0.7889908256880734,0.6039045730523132,0.3969805143456126,54.5
금천구,독산4동,11545640,0.5576011550885626,0.2775391488787437,0.6972477064220185,0.7248441237197703,0.4416964486753588,54.4
동대문구,답십리2동,11230610,0.617422331469985,0.30772251549727136,0.8990825688073395,0.5931271337162949,0.2027167951552636,54.4
은평구,불광1동,11380520,0.6362202698281328,0.3793774459218304,0.9174311926605504,0.4303166588302636,0.18703849044143325,54.3
성동구,왕십리도선동,11200535,0.7081947334998352,0.2178203448326877,0.9266055045871561,0.5418688799394893,0.18965413586819227,54.3
강서구,화곡본동,11500590,0.635248550943727,0.33097404635855826,0.8623853211009175,0.48523826072735465,0.2702621958892494,54.3
관악구,신사동,11620685,0.6434015130737952,0.3190570890254674,0.6697247706422019,0.6159658196536992,0.3327174164840496,54.3
강서구,방화1동,11500630,0.7102674563983623,0.28650835915930045,0.9908256880733947,0.40448105975427784,0.13931265821428065,54.2
양천구,신월1동,11470560,0.6438745187331917,0.20418873208075516,0.8348623853211009,0.618529345626265,0.3513913670285737,54.2
관악구,은천동,11620605,0.6383219739648381,0.28307258319761697,0.9266055045871561,0.569004640513523,0.18434236883032545,54.1
노원구,상계2동,11350640,0.7306032728382791,0.24244069430258236,0.853211009174312,0.5086943189484228,0.19499691845016986,53.9
성동구,성수1가2동,11200660,0.7218268406667084,0.19812769461212731,0.889908256880734,0.5550708342702946,0.20265198807256232,53.9
중랑구,면목3·8동,11260575,0.680760727089062,0.27725516815090123,0.6605504587155964,0.5834740478770162,0.35406691903884285,53.9
광진구,군자동,11215730,0.662796330031021,0.24100779307570203,0.6788990825688074,0.629748349244639,0.37902535723269026,53.8
강남구,대치4동,11680630,0.7783243595513459,0.21937214149308742,0.706422018348624,0.5153136946255903,0.26256675071511915,53.6
강남구,압구정동,11680545,0.8115273188632356,0.2898576692149373,0.9541284403669726,0.24207944068524245,0.1008245030329658,53.5
서초구,양재1동,11650651,0.74476921191068,0.27219624701864864,0.9633027522935779,0.29395506674571203,0.2005017415255747,53.4
노원구,상계1동,11350630,0.6538603742452357,0.3307219946425343,0.981651376146789,0.4037860048653843,0.1497461023011756,53.3
관악구,행운동,11620575,0.645937462965788,0.24272834082438433,0.9174311926605504,0.4897765602960116,0.28899341887535596,53.3
도봉구,도봉1동,11320521,0.634947114648785,0.31693192273151166,0.6513761467889908,0.5941574503751252,0.3452425797767492,53.2
송파구,문정2동,11710642,0.8539281552848673,0.19448879019417656,0.8623853211009175,0.324574278880553,0.1603550713519879,53.0
동작구,흑석동,11590605,0.6575361313583371,0.3920442937574286,0.9357798165137615,0.35236420876178,0.12452908322583345,53.0
은평구,불광2동,11380530,0.61748112615478,0.30587067533795764,0.779816513761468,0.5410429911891572,0.31057418571313145,52.9
광진구,중곡2동,11215750,0.62518739059969,0.2588788561656347,0.8715596330275229,0.5644949608520553,0.25613335732329157,52.8
관악구,서림동,11620665,0.5499807712645227,0.2428912472438261,0.9357798165137615,0.5745282826011406,0.3562101590911603,52.8
관악구,신원동,11620655,0.565669792969734,0.33350191485375624,0.688073394495413,0.6493243657624137,0.3440794870000978,52.7
강동구,성내3동,11740660,0.72096826405392,0.19438872818248953,0.853211009174312,0.48308359057178496,0.2641056295480884,52.7
강동구,천호1동,11740600,0.6207042459814066,0.28410508081783703,0.889908256880734,0.5067808737248809,0.25399258903968075,52.6
강남구,청담동,11680565,0.8143593898515299,0.24087812098175,0.9266055045871561,0.2620111617638039,0.14574903296454922,52.6
송파구,송파1동,11710580,0.7156148290968384,0.21498275270343728,0.853211009174312,0.45209231964347785,0.2676475489691472,52.6
영등포구,영등포본동,11560515,0.6000285467509637,0.32760100497710165,0.7706422018348623,0.5853834045423882,0.2521344691235582,52.4
중구,회현동,11140540,0.7181458886280815,0.2893726910795982,0.3027522935779817,0.7474661160741665,0.38225322698289443,52.3
구로구,개봉1동,11530740,0.637344295860005,0.2817254465706555,0.8623853211009175,0.4511560398225565,0.2930041048210172,52.3
강북구,수유1동,11305615,0.6265327391499568,0.29241510778697305,0.6146788990825689,0.6246335629740172,0.369835044511163,52.3
동작구,노량진1동,11590510,0.6848593998810045,0.3147599923124898,0.8348623853211009,0.45102520596111795,0.16668678502387976,52.2
은평구,응암1동,11380580,0.6413598473982808,0.25414946819165046,0.944954128440367,0.44595539383036575,0.24792934716133705,52.2
관악구,난곡동,11620775,0.5216417958643996,0.3644138015114007,0.81651376146789,0.553660281701658,0.31110335156207813,51.9
동작구,상도1동,11590530,0.6618695344718201,0.3358167253006193,0.9541284403669726,0.37608193470572604,0.11613464034964963,51.8
용산구,청파동,11170555,0.658765221011873,0.19460358541372655,0.706422018348624,0.6912893268188973,0.28841688814598665,51.8
서초구,서초2동,11650520,0.797455225261741,0.1729041560380178,0.8623853211009175,0.401259275916348,0.18268792958313387,51.8
관악구,미성동,11620765,0.5934383097938362,0.33538280950499283,0.8715596330275229,0.5165852362164483,0.18858753702378767,51.7
강남구,신사동,11680510,0.7951743570892128,0.249618408978667,0.8256880733944955,0.3428092483185803,0.1477006411888045,51.7
마포구,대흥동,11440600,0.6383567909612432,0.17080157396643686,0.8623853211009175,0.5477482265878937,0.3522609636268056,51.7
종로구,사직동,11110530,0.7531344031494173,0.1672595922956506,0.6605504587155964,0.5779708485802482,0.2903538279075542,51.5
